"To","From","Average","Sim.Threshold","1995","1996","1997","1998","1999"
"Austria","Belgium",0.333333333333333,6.33333333333333,1,0,NA,NA,0
"Austria","Bosnia & Herzegovina",4,5.75,0,0,4,NA,12
"Austria","Croatia",2,6,0,0,0,NA,8
"Austria","Cyprus",0.5,6,0,2,0,NA,0
"Austria","Denmark",4,6.33333333333333,7,NA,0,NA,5
"Austria","France",2.5,6,10,0,0,NA,0
"Austria","Germany",4.33333333333333,6.33333333333333,0,NA,3,NA,10
"Austria","Greece",1.66666666666667,6.66666666666667,5,0,0,NA,NA
"Austria","Hungary",0,7,0,NA,0,NA,NA
"Austria","Iceland",3.5,5.75,4,6,2,NA,2
"Austria","Ireland",4.25,5.75,0,7,10,NA,0
"Austria","Israel",3.5,7.02500000000003,6,NA,NA,NA,1
"Austria","Malta",2.25,5.75,2,0,0,NA,7
"Austria","Norway",2,5.5,0,8,0,NA,0
"Austria","Poland",3,6,0,4,8,NA,0
"Austria","Portugal",0.25,5.75,0,1,0,NA,0
"Austria","Russia",2.5,7.5,0,NA,5,NA,NA
"Austria","Slovenia",0.75,5.75,3,0,0,NA,0
"Austria","Spain",0,6.25,0,0,0,NA,0
"Austria","Sweden",6,6,8,10,0,NA,6
"Austria","Turkey",1.75,6,0,0,7,NA,0
"Austria","United Kingdom",6.75,5.51250000000002,12,3,12,NA,0
"Belgium","Austria",5.33333333333333,7,10,0,NA,NA,6
"Belgium","Bosnia & Herzegovina",0.333333333333333,6.66666666666667,0,0,NA,NA,1
"Belgium","Croatia",3.5,6,0,4,NA,5,5
"Belgium","Cyprus",2.5,6,8,0,NA,2,0
"Belgium","Denmark",1.5,7.02500000000003,3,NA,NA,NA,0
"Belgium","France",3.25,6,6,7,NA,0,0
"Belgium","Germany",5.66666666666667,6.33333333333333,0,NA,NA,7,10
"Belgium","Greece",0.666666666666667,6.66666666666667,2,0,NA,0,NA
"Belgium","Hungary",0,7.5,0,NA,NA,0,NA
"Belgium","Iceland",2.66666666666667,6.66666666666667,0,0,NA,NA,8
"Belgium","Ireland",0.75,6,0,3,NA,0,0
"Belgium","Israel",5.66666666666667,6.66666666666667,4,NA,NA,10,3
"Belgium","Malta",2,6,0,0,NA,8,0
"Belgium","Norway",4.25,5.75,5,8,NA,4,0
"Belgium","Poland",0,6,0,0,NA,0,0
"Belgium","Portugal",1.75,6,0,6,NA,1,0
"Belgium","Russia",0,10,0,NA,NA,NA,NA
"Belgium","Slovenia",0.5,6,0,0,NA,0,2
"Belgium","Spain",3.75,5.5,12,0,NA,3,0
"Belgium","Sweden",4.25,6,0,10,NA,0,7
"Belgium","Turkey",1.5,6,1,5,NA,0,0
"Belgium","United Kingdom",6.25,6,7,12,NA,6,0
"Bosnia & Herzegovina","Austria",1.5,5.75,0,6,0,NA,0
"Bosnia & Herzegovina","Belgium",0,6.35000000000002,0,0,NA,NA,0
"Bosnia & Herzegovina","Croatia",7.5,6,10,10,2,NA,8
"Bosnia & Herzegovina","Cyprus",0,5.75,0,0,0,NA,0
"Bosnia & Herzegovina","Denmark",1,6.66666666666667,3,NA,0,NA,0
"Bosnia & Herzegovina","France",0.75,6,0,0,3,NA,0
"Bosnia & Herzegovina","Germany",3.33333333333333,6.33333333333333,0,NA,0,NA,10
"Bosnia & Herzegovina","Greece",0,6.33333333333333,0,0,0,NA,NA
"Bosnia & Herzegovina","Hungary",0,7,0,NA,0,NA,NA
"Bosnia & Herzegovina","Iceland",0,5.75,0,0,0,NA,0
"Bosnia & Herzegovina","Ireland",6.25,6,5,12,8,NA,0
"Bosnia & Herzegovina","Israel",4.5,8,7,NA,NA,NA,2
"Bosnia & Herzegovina","Malta",6,6,12,0,5,NA,7
"Bosnia & Herzegovina","Norway",1,5.75,1,3,0,NA,0
"Bosnia & Herzegovina","Poland",4.25,6,0,7,4,NA,6
"Bosnia & Herzegovina","Portugal",0.25,6,0,1,0,NA,0
"Bosnia & Herzegovina","Russia",0,7.5,0,NA,0,NA,NA
"Bosnia & Herzegovina","Slovenia",6.5,6,6,8,7,NA,5
"Bosnia & Herzegovina","Spain",2,6.25,8,0,0,NA,0
"Bosnia & Herzegovina","Sweden",4.5,6,2,4,0,NA,12
"Bosnia & Herzegovina","Turkey",4.25,6,0,5,12,NA,0
"Bosnia & Herzegovina","United Kingdom",3.75,5.75,4,0,10,NA,1
"Croatia","Austria",0,5.75,0,0,0,NA,0
"Croatia","Belgium",1.5,6,0,2,NA,0,4
"Croatia","Bosnia & Herzegovina",5.5,6,8,3,1,NA,10
"Croatia","Cyprus",3.4,5.6,1,8,4,4,0
"Croatia","Denmark",0,6.33333333333333,0,NA,0,NA,0
"Croatia","France",0.6,5.21000000000001,3,0,0,0,0
"Croatia","Germany",2,6,0,NA,5,0,3
"Croatia","Greece",3.5,5.75,7,0,7,0,NA
