From,To,Average,Sim.Threshold
Belgium,The Netherlands,7.33,6.67
Croatia,Malta,8.4,5.4
Cyprus,Greece,11,6
Denmark,Iceland,8.33,6.67
Denmark,Sweden,9,6.33
Estonia,Sweden,6.75,6
Greece,Cyprus,11.5,6
Iceland,Denmark,6.67,6.33
Iceland,Estonia,6.67,6.33
Iceland,Sweden,6.5,6
Malta,Croatia,9,5.8
Sweden,Denmark,9.33,6.67
Sweden,Estonia,8.5,6.25
The Netherlands,Belgium,8.33,6.33
