"To","From","Average","Sim.Threshold","1980","1981","1982","1983","1984"
"Austria","Belgium",1.6,6.2,0,1,4,0,3
"Austria","Denmark",0.8,6.2,0,0,0,0,4
"Austria","Finland",1.4,6.4,0,0,0,2,5
"Austria","France",5,6.25,0,12,NA,0,8
"Austria","Germany",4.4,6.2,8,5,1,7,1
"Austria","Greece",3.66666666666667,6.66666666666667,5,6,NA,0,NA
"Austria","Ireland",6.75,6.75,10,7,0,NA,10
"Austria","Italy",3,7.33333333333333,2,NA,NA,0,7
"Austria","Luxembourg",3.6,6.21000000000001,1,10,2,5,0
"Austria","Morocco",0,12,0,NA,NA,NA,NA
"Austria","Norway",1.8,6.4,0,0,6,3,0
"Austria","Portugal",0,6,0,0,0,0,0
"Austria","Spain",2,6.4,4,0,0,0,6
"Austria","Sweden",5.6,6.21000000000001,0,0,8,8,12
"Austria","Switzerland",4.8,6.2,6,2,10,6,0
"Austria","The Netherlands",3.8,6.2,12,3,0,4,0
"Austria","Turkey",1.2,6,3,0,3,0,0
"Austria","United Kingdom",7,6.2,7,4,12,10,2
"Belgium","Austria",2,6.4,1,0,6,3,0
"Belgium","Denmark",4,6.4,0,12,0,0,8
"Belgium","Finland",0,5.8,0,0,0,0,0
"Belgium","France",4.5,6.51250000000002,5,3,NA,0,10
"Belgium","Germany",7.8,6,7,10,10,6,6
"Belgium","Greece",2,7.33333333333333,0,6,NA,0,NA
"Belgium","Ireland",6.25,6.5,12,1,0,NA,12
"Belgium","Italy",3.33333333333333,7.33333333333333,10,NA,NA,0,0
"Belgium","Luxembourg",4.8,6.01000000000001,8,0,8,8,0
"Belgium","Morocco",0,12,0,NA,NA,NA,NA
"Belgium","Norway",2,6.2,0,0,2,7,1
"Belgium","Portugal",0.8,6.2,4,0,0,0,0
"Belgium","Spain",1.4,6.2,0,0,4,0,3
"Belgium","Sweden",4.2,6.2,0,4,5,5,7
"Belgium","Switzerland",4,6.2,2,0,12,1,5
"Belgium","The Netherlands",1.4,6,3,2,0,2,0
"Belgium","Turkey",0.8,6,0,0,0,0,4
"Belgium","United Kingdom",3.2,6.2,6,8,0,0,2
"Denmark","Austria",4.4,6.4,5,1,6,6,4
"Denmark","Belgium",3.2,6.01000000000001,0,6,10,0,0
"Denmark","Finland",1.2,6.2,0,0,0,0,6
"Denmark","France",0.75,6.5,1,2,NA,0,0
"Denmark","Germany",6.4,6.2,7,8,12,3,2
"Denmark","Greece",0.666666666666667,7.01666666666669,2,0,NA,0,NA
"Denmark","Ireland",8,6.5,12,12,5,NA,3
"Denmark","Italy",1,7,3,NA,NA,0,0
"Denmark","Luxembourg",3,6.2,4,0,4,2,5
"Denmark","Morocco",0,12,0,NA,NA,NA,NA
"Denmark","Norway",1.6,6.4,0,0,0,8,0
"Denmark","Portugal",1.2,6.2,6,0,0,0,0
"Denmark","Spain",1.4,6.01000000000001,0,0,0,0,7
"Denmark","Sweden",7,6.01000000000001,0,5,8,10,12
"Denmark","Switzerland",5.4,6,8,4,7,0,8
"Denmark","The Netherlands",2.2,6.2,0,7,0,4,0
"Denmark","Turkey",0,6.01000000000001,0,0,0,0,0
"Denmark","United Kingdom",5.6,6.4,10,10,2,5,1
"Finland","Austria",1,6.21000000000001,5,0,0,0,0
"Finland","Belgium",3.4,6,0,2,5,0,10
"Finland","Denmark",2.4,6.2,7,0,0,0,5
"Finland","France",4,6.5,0,10,NA,6,0
"Finland","Germany",4.6,6.2,2,7,10,4,0
"Finland","Greece",1.66666666666667,6.66666666666667,0,0,NA,5,NA
"Finland","Ireland",3.75,6.5,8,0,0,NA,7
"Finland","Italy",6.33333333333333,6.66666666666667,6,NA,NA,1,12
"Finland","Luxembourg",4.4,6,3,4,7,8,0
"Finland","Morocco",0,12,0,NA,NA,NA,NA
"Finland","Norway",1.2,6.2,0,0,0,0,6
"Finland","Portugal",1,6,1,0,2,2,0
"Finland","Spain",1.2,6.2,0,0,6,0,0
"Finland","Sweden",4.4,6.2,0,1,3,10,8
"Finland","Switzerland",5,6.2,12,12,0,0,1
"Finland","The Netherlands",2.6,6.4,10,0,0,3,0
"Finland","Turkey",1.8,6.4,0,5,1,0,3
"Finland","United Kingdom",3,6.4,4,3,4,0,4
"France","Austria",2.25,6.5,4,5,NA,0,0
"France","Belgium",3,6.5,0,0,NA,0,12
"France","Denmark",3,6.75,0,4,NA,0,8
"France","Finland",2,6.5,1,1,NA,1,5
"France","Germany",8,6.75,10,8,NA,10,4
"France","Greece",1,7,0,0,NA,3,NA
"France","Ireland",5.66666666666667,7,8,6,NA,NA,3
"France","Italy",3,7.01666666666669,2,NA,NA,7,0
"France","Luxembourg",5.5,6.25,7,3,NA,12,0
"France","Morocco",0,12,0,NA,NA,NA,NA
"France","Norway",0.75,6.5,3,0,NA,0,0
"France","Portugal",2.5,6.25,6,0,NA,4,0
"France","Spain",2.5,6.5,0,0,NA,0,10
"France","Sweden",6,6.5,0,12,NA,6,6
"France","Switzerland",2.5,6.5,0,10,NA,0,0
"France","The Netherlands",5.75,6.5,12,2,NA,2,7
"France","Turkey",0,6.75,0,0,NA,0,0
"France","United Kingdom",4.25,6.5,5,7,NA,5,0
"Germany","Austria",0.8,6.4,4,0,0,0,0
"Germany","Belgium",1.6,6.4,0,0,4,0,4
"Germany","Denmark",2.2,6.2,5,1,0,0,5
"Germany","Finland",1.6,6.2,0,0,0,7,1
"Germany","France",4,6.5,0,12,NA,4,0
"Germany","Greece",0.666666666666667,7,0,2,NA,0,NA
"Germany","Ireland",7.75,6.5,12,6,3,NA,10
"Germany","Italy",4.33333333333333,6.66666666666667,7,NA,NA,0,6
"Germany","Luxembourg",4.2,6.21000000000001,0,5,8,8,0
"Germany","Morocco",0,10,0,NA,NA,NA,NA
"Germany","Norway",3.8,6.2,6,0,10,1,2
"Germany","Portugal",3.4,6,1,8,0,0,8
"Germany","Spain",1.4,6.4,0,0,7,0,0
"Germany","Sweden",7.6,6,2,10,2,12,12
"Germany","Switzerland",3.4,6.21000000000001,10,7,0,0,0
"Germany","The Netherlands",3.6,6.2,8,3,5,2,0
"Germany","Turkey",0,6.21000000000001,0,0,0,0,0
"Germany","United Kingdom",3.6,6.2,3,4,1,3,7
"Greece","Austria",1.66666666666667,7.33333333333333,1,0,NA,4,NA
"Greece","Belgium",3.33333333333333,7,3,7,NA,0,NA
"Greece","Denmark",1.33333333333333,7.33333333333333,4,0,NA,0,NA
"Greece","Finland",2.66666666666667,7.33333333333333,0,0,NA,8,NA
"Greece","France",7.33333333333333,7.33333333333333,7,8,NA,7,NA
"Greece","Germany",2,7,0,5,NA,1,NA
"Greece","Ireland",11,8,12,10,NA,NA,NA
"Greece","Italy",2,8,2,NA,NA,2,NA
"Greece","Luxembourg",4,7.33333333333333,0,0,NA,12,NA
"Greece","Morocco",0,12,0,NA,NA,NA,NA
"Greece","Norway",0,7.33333333333333,0,0,NA,0,NA
"Greece","Portugal",2,7,5,1,NA,0,NA
"Greece","Spain",2.66666666666667,7,8,0,NA,0,NA
"Greece","Sweden",6.66666666666667,7,10,0,NA,10,NA
"Greece","Switzerland",1.33333333333333,7.33333333333333,0,4,NA,0,NA
"Greece","The Netherlands",3,7,6,3,NA,0,NA
"Greece","Turkey",0,6.66666666666667,0,0,NA,0,NA
"Greece","United Kingdom",3.66666666666667,7,0,6,NA,5,NA
"Ireland","Austria",4,6.75,10,0,5,NA,1
"Ireland","Belgium",1,6.5,0,0,4,NA,0
"Ireland","Denmark",2.75,6.5,0,0,1,NA,10
"Ireland","Finland",1.25,6.5,0,5,0,NA,0
"Ireland","France",2.33333333333333,7,3,4,NA,NA,0
"Ireland","Germany",5.75,6.5,5,6,12,NA,0
"Ireland","Greece",2.5,8,4,1,NA,NA,NA
"Ireland","Italy",1,8,2,NA,NA,NA,0
"Ireland","Luxembourg",5.75,6.5,8,0,10,NA,5
"Ireland","Morocco",0,12,0,NA,NA,NA,NA
"Ireland","Norway",2.25,6.25,0,0,6,NA,3
"Ireland","Portugal",2.25,6.5,7,0,2,NA,0
"Ireland","Spain",2.5,6.5,0,3,0,NA,7
"Ireland","Sweden",3.75,6.5,0,0,3,NA,12
"Ireland","Switzerland",8,6.25,12,12,8,NA,0
"Ireland","The Netherlands",1.75,6.5,1,0,0,NA,6
"Ireland","Turkey",0.5,6.75,0,0,0,NA,2
"Ireland","United Kingdom",7.75,6.5,6,10,7,NA,8
"Italy","Austria",3,7,4,NA,NA,5,0
"Italy","Belgium",0.333333333333333,7,0,NA,NA,0,1
"Italy","Denmark",1.66666666666667,7.33333333333333,0,NA,NA,0,5
"Italy","Finland",0,7,0,NA,NA,0,0
"Italy","France",5.66666666666667,7.33333333333333,0,NA,NA,10,7
"Italy","Germany",6.66666666666667,7,12,NA,NA,6,2
"Italy","Greece",1,8.5,2,NA,NA,0,NA
"Italy","Ireland",6.5,8.5,1,NA,NA,NA,12
"Italy","Luxembourg",5,7.33333333333333,0,NA,NA,12,3
"Italy","Morocco",7,12,7,NA,NA,NA,NA
"Italy","Norway",0,7.33333333333333,0,NA,NA,0,0
"Italy","Portugal",3.33333333333333,7,10,NA,NA,0,0
"Italy","Spain",4.66666666666667,7,6,NA,NA,0,8
"Italy","Sweden",6.33333333333333,7.33333333333333,5,NA,NA,8,6
"Italy","Switzerland",4.66666666666667,7,3,NA,NA,7,4
"Italy","The Netherlands",1.33333333333333,7,0,NA,NA,4,0
"Italy","Turkey",2.66666666666667,7.33333333333333,8,NA,NA,0,0
"Italy","United Kingdom",4,7.33333333333333,0,NA,NA,2,10
"Luxembourg","Austria",0,6.2,0,0,0,0,0
"Luxembourg","Belgium",3.4,6.4,0,0,5,0,12
"Luxembourg","Denmark",2,6.4,0,7,0,0,3
"Luxembourg","Finland",0.2,6.2,0,0,0,1,0
"Luxembourg","France",4.25,6.75,2,12,NA,3,0
"Luxembourg","Germany",3.6,6.4,3,3,0,12,0
"Luxembourg","Greece",2.33333333333333,7,1,6,NA,0,NA
"Luxembourg","Ireland",5.5,6.75,7,10,0,NA,5
"Luxembourg","Italy",3.33333333333333,7.33333333333333,0,NA,NA,0,10
