"To","From","Average","Sim.Threshold","2005","2006","2007","2008","2009"
"Albania","Bosnia & Herzegovina",5,5.2,0,12,8,0,5
"Albania","Croatia",0.5,5.75,2,0,NA,0,0
"Albania","Cyprus",7,10,7,NA,NA,NA,NA
"Albania","Denmark",0,5.75,0,0,NA,0,0
"Albania","F.Y.R. Macedonia",5.33333333333333,6.66666666666667,10,3,3,NA,NA
"Albania","France",1.4,5.4,1,0,4,0,2
"Albania","Germany",2.8,5.4,0,5,6,0,3
"Albania","Greece",10.2,5.4,12,8,7,12,12
"Albania","Hungary",0,7,0,NA,0,NA,NA
"Albania","Israel",1.75,5.75,3,0,NA,4,0
"Albania","Latvia",0,5.76250000000002,0,0,0,0,NA
"Albania","Malta",1.66666666666667,6.33333333333333,4,1,NA,NA,0
"Albania","Moldova",0,6,0,0,0,NA,0
"Albania","Norway",3.5,6,0,0,NA,7,7
"Albania","Romania",1.4,5.4,5,2,0,0,0
"Albania","Russia",2,5.2,0,4,0,6,0
"Albania","Serbia & Montenegro",6,12,6,NA,NA,NA,NA
"Albania","Spain",3.8,5.4,0,6,12,1,0
"Albania","Sweden",2.8,5.4,0,10,0,3,1
"Albania","Switzerland",0,7,0,0,NA,NA,NA
"Albania","Turkey",9,5.21000000000001,8,7,10,10,10
"Albania","Ukraine",1.6,5.4,0,0,0,8,0
"Albania","United Kingdom",1.6,5.21000000000001,0,0,0,0,8
"Belarus","Albania",0,6.33333333333333,0,NA,NA,0,0
"Belarus","Bosnia & Herzegovina",0.8,5.4,0,4,0,0,0
"Belarus","Croatia",0,5.5,0,0,NA,0,0
"Belarus","Cyprus",0,10,0,NA,NA,NA,NA
"Belarus","Denmark",0,6,0,0,NA,0,0
"Belarus","F.Y.R. Macedonia",0,6.33333333333333,0,0,0,NA,NA
"Belarus","France",1.4,5.4,0,0,0,0,7
"Belarus","Germany",0,5.4,0,0,0,0,0
"Belarus","Greece",2.4,5.4,0,2,3,2,5
"Belarus","Hungary",1,7.5,2,NA,0,NA,NA
"Belarus","Israel",3,5.5,8,0,NA,4,0
"Belarus","Latvia",1.5,5.5,6,0,0,0,NA
"Belarus","Malta",1.66666666666667,6.33333333333333,5,0,NA,NA,0
"Belarus","Moldova",3.75,5.75,7,0,8,NA,0
"Belarus","Norway",5.5,5.75,4,1,NA,5,12
"Belarus","Romania",0.8,5.4,1,3,0,0,0
"Belarus","Russia",11.2,5.4,12,12,12,12,8
"Belarus","Serbia & Montenegro",3,10,3,NA,NA,NA,NA
"Belarus","Spain",0,5.6,0,0,0,0,0
"Belarus","Sweden",1,5.2,0,5,0,0,0
"Belarus","Switzerland",5,7.5,10,0,NA,NA,NA
"Belarus","Turkey",0.6,5.4,0,0,0,3,0
"Belarus","Ukraine",7.2,5.4,0,10,10,10,6
"Belarus","United Kingdom",0.6,5.4,0,0,0,0,3
"Bosnia & Herzegovina","Albania",2,6.35000000000002,5,NA,NA,1,0
"Bosnia & Herzegovina","Croatia",11.5,5.5,12,12,NA,10,12
"Bosnia & Herzegovina","Cyprus",0,10,0,NA,NA,NA,NA
"Bosnia & Herzegovina","Denmark",0,5.75,0,0,NA,0,0
"Bosnia & Herzegovina","F.Y.R. Macedonia",7.66666666666667,6.33333333333333,7,8,8,NA,NA
"Bosnia & Herzegovina","France",1.2,5.4,0,0,0,0,6
"Bosnia & Herzegovina","Germany",0.4,5.6,0,0,0,0,2
"Bosnia & Herzegovina","Greece",4.4,5.6,6,1,3,7,5
"Bosnia & Herzegovina","Hungary",0.5,7,1,NA,0,NA,NA
"Bosnia & Herzegovina","Israel",3.25,6,0,0,NA,5,8
"Bosnia & Herzegovina","Latvia",0,5.76250000000002,0,0,0,0,NA
"Bosnia & Herzegovina","Malta",0,6.66666666666667,0,0,NA,NA,0
"Bosnia & Herzegovina","Moldova",1,5.75,4,0,0,NA,0
"Bosnia & Herzegovina","Norway",3.75,5.26250000000002,3,0,NA,2,10
"Bosnia & Herzegovina","Romania",0.8,5.4,2,2,0,0,0
"Bosnia & Herzegovina","Russia",2.4,5.4,0,6,2,4,0
"Bosnia & Herzegovina","Serbia & Montenegro",10,10,10,NA,NA,NA,NA
"Bosnia & Herzegovina","Spain",0,5.4,0,0,0,0,0
"Bosnia & Herzegovina","Sweden",0.6,5.4,0,3,0,0,0
"Bosnia & Herzegovina","Switzerland",2,7,0,4,NA,NA,NA
"Bosnia & Herzegovina","Turkey",8.6,5.4,8,10,10,8,7
"Bosnia & Herzegovina","Ukraine",2.6,5.2,0,5,5,3,0
"Bosnia & Herzegovina","United Kingdom",0.8,5.2,0,0,0,0,4
"Bulgaria","Albania",0,6,0,NA,NA,0,0
"Bulgaria","Bosnia & Herzegovina",2.2,5.41000000000001,0,7,0,0,4
"Bulgaria","Croatia",0.5,5.75,2,0,NA,0,0
"Bulgaria","Cyprus",10,12,10,NA,NA,NA,NA
"Bulgaria","Denmark",0,6,0,0,NA,0,0
"Bulgaria","F.Y.R. Macedonia",7.66666666666667,6.66666666666667,7,6,10,NA,NA
"Bulgaria","France",0,5.2,0,0,0,0,0
"Bulgaria","Germany",2.4,5.4,0,0,0,12,0
"Bulgaria","Greece",11.6,5.4,12,12,12,10,12
"Bulgaria","Hungary",2.5,7.5,5,NA,0,NA,NA
"Bulgaria","Israel",0.5,5.76250000000002,0,0,NA,2,0
"Bulgaria","Latvia",0,5.75,0,0,0,0,NA
"Bulgaria","Malta",0,6.01666666666669,0,0,NA,NA,0
"Bulgaria","Moldova",2.5,5.75,6,0,4,NA,0
"Bulgaria","Norway",1,5.5,1,0,NA,1,2
"Bulgaria","Romania",2.4,5.6,8,2,2,0,0
"Bulgaria","Russia",4.2,5.6,0,10,5,6,0
"Bulgaria","Serbia & Montenegro",4,10,4,NA,NA,NA,NA
"Bulgaria","Spain",0,5.2,0,0,0,0,0
"Bulgaria","Sweden",0,5.4,0,0,0,0,0
"Bulgaria","Switzerland",0,7,0,0,NA,NA,NA
"Bulgaria","Turkey",5.8,5.4,3,4,7,5,10
"Bulgaria","Ukraine",2.6,5.4,0,3,3,7,0
"Bulgaria","United Kingdom",1.4,5.6,0,0,0,0,7
"Croatia","Albania",5,6.33333333333333,2,NA,NA,8,5
"Croatia","Bosnia & Herzegovina",11.2,5.4,10,12,10,12,12
"Croatia","Cyprus",0,12,0,NA,NA,NA,NA
"Croatia","Denmark",0,5.5,0,0,NA,0,0
"Croatia","F.Y.R. Macedonia",8,6,8,8,8,NA,NA
"Croatia","France",0,5.41000000000001,0,0,0,0,0
"Croatia","Germany",0,5.6,0,0,0,0,0
"Croatia","Greece",3.4,5.4,5,0,0,5,7
"Croatia","Hungary",5,7.5,6,NA,4,NA,NA
"Croatia","Israel",0.5,6,0,0,NA,2,0
"Croatia","Latvia",3,6,7,0,1,4,NA
"Croatia","Malta",1.33333333333333,6.01666666666669,4,0,NA,NA,0
"Croatia","Moldova",1,5.75,1,0,0,NA,3
"Croatia","Norway",2.25,6,0,0,NA,1,8
"Croatia","Romania",1,5.4,0,5,0,0,0
"Croatia","Russia",3.2,5.4,0,7,3,6,0
"Croatia","Serbia & Montenegro",12,10,12,NA,NA,NA,NA
"Croatia","Spain",0,5.2,0,0,0,0,0
"Croatia","Sweden",0.6,5.4,0,3,0,0,0
"Croatia","Switzerland",1.5,7,3,0,NA,NA,NA
"Croatia","Turkey",0.2,5.4,0,0,0,0,1
"Croatia","Ukraine",3.2,5.41000000000001,0,4,5,7,0
"Croatia","United Kingdom",1,5.4,0,1,0,0,4
"Cyprus","Albania",0,6.66666666666667,0,NA,NA,0,0
"Cyprus","Bosnia & Herzegovina",0.4,5.2,0,2,0,0,0
"Cyprus","Croatia",0,6,0,0,NA,0,0
"Cyprus","Denmark",1.5,6,0,0,NA,0,6
"Cyprus","F.Y.R. Macedonia",0,6.33333333333333,0,0,0,NA,NA
"Cyprus","France",0,5.2,0,0,0,0,0
"Cyprus","Germany",0,5.6,0,0,0,0,0
"Cyprus","Greece",12,5.4,12,12,12,12,12
"Cyprus","Hungary",3.5,7.5,7,NA,0,NA,NA
"Cyprus","Israel",0.5,6,0,0,NA,2,0
"Cyprus","Latvia",0.25,5.5,1,0,0,0,NA
"Cyprus","Malta",2,6.33333333333333,6,0,NA,NA,0
"Cyprus","Moldova",1,5.75,2,0,2,NA,0
"Cyprus","Norway",3.25,5.75,3,0,NA,0,10
"Cyprus","Romania",5.6,5.2,8,10,5,3,2
"Cyprus","Russia",4.8,5.4,0,8,7,8,1
"Cyprus","Serbia & Montenegro",10,10,10,NA,NA,NA,NA
"Cyprus","Spain",0.8,5.2,0,0,0,4,0
"Cyprus","Sweden",0.2,5.2,0,0,0,1,0
"Cyprus","Switzerland",3.5,7,4,3,NA,NA,NA
"Cyprus","Turkey",0,5.2,0,0,0,0,0
"Cyprus","Ukraine",3.2,5.4,0,6,4,6,0
"Cyprus","United Kingdom",2.6,5.21000000000001,5,1,0,0,7
"Denmark","Albania",0,6.33333333333333,0,NA,NA,0,0
"Denmark","Bosnia & Herzegovina",4.2,5.21000000000001,4,8,7,2,0
"Denmark","Croatia",0,5.75,0,0,NA,0,0
"Denmark","Cyprus",0,10,0,NA,NA,NA,NA
"Denmark","F.Y.R. Macedonia",0,6.66666666666667,0,0,0,NA,NA
"Denmark","France",1.4,5.4,0,0,0,5,2
"Denmark","Germany",3,5.4,0,3,5,0,7
"Denmark","Greece",1.2,5.4,2,0,1,3,0
"Denmark","Hungary",4,7,0,NA,8,NA,NA
"Denmark","Israel",1.25,5.75,5,0,NA,0,0
"Denmark","Latvia",3,5.75,6,0,0,6,NA
"Denmark","Malta",3.33333333333333,6.66666666666667,10,0,NA,NA,0
"Denmark","Moldova",0,6,0,0,0,NA,0
"Denmark","Norway",8.75,6,12,1,NA,10,12
"Denmark","Romania",1.8,5.4,3,6,0,0,0
"Denmark","Russia",0.8,5.4,0,2,2,0,0
"Denmark","Serbia & Montenegro",0,10,0,NA,NA,NA,NA
"Denmark","Spain",0.2,5.4,0,0,0,1,0
"Denmark","Sweden",8.2,5.8,7,10,12,8,4
"Denmark","Switzerland",0.5,7.5,1,0,NA,NA,NA
"Denmark","Turkey",5.6,5.2,8,0,10,4,6
"Denmark","Ukraine",2,5.4,0,0,3,7,0
"Denmark","United Kingdom",1.4,5.4,0,4,0,0,3
"Estonia","Albania",0.333333333333333,6.33333333333333,0,NA,NA,0,1
"Estonia","Bosnia & Herzegovina",0,5.4,0,0,0,0,0
"Estonia","Croatia",0.5,5.5,2,0,NA,0,0
"Estonia","Cyprus",0,10,0,NA,NA,NA,NA
"Estonia","Denmark",2.25,5.5,5,1,NA,3,0
"Estonia","F.Y.R. Macedonia",0,6.66666666666667,0,0,0,NA,NA
"Estonia","France",1.6,5.4,0,0,2,6,0
"Estonia","Germany",0.6,5.4,0,0,3,0,0
"Estonia","Greece",0.2,5.4,0,0,0,1,0
"Estonia","Hungary",3.5,7,3,NA,4,NA,NA
"Estonia","Israel",1.5,6,1,0,NA,0,5
"Estonia","Latvia",7.5,5.5,10,3,10,7,NA
"Estonia","Malta",1.33333333333333,6.33333333333333,4,0,NA,NA,0
"Estonia","Moldova",1.5,5.75,6,0,0,NA,0
"Estonia","Norway",7,5.5,8,0,NA,8,12
"Estonia","Romania",0.8,5.4,0,4,0,0,0
"Estonia","Russia",10.2,5.4,7,10,12,12,10
