"To","From","Average","Sim.Threshold","1990","1991","1992","1993","1994"
"Austria","Belgium",1.75,6,4,3,0,0,NA
"Austria","Cyprus",0,5.2,0,0,0,0,0
"Austria","Denmark",2.25,6,6,0,3,0,NA
"Austria","Finland",0,5.6,0,0,0,0,0
"Austria","France",5.6,5.6,2,12,0,7,7
"Austria","Germany",1,5.6,3,0,0,0,2
"Austria","Greece",1.2,5.41000000000001,0,2,4,0,0
"Austria","Iceland",4.2,5.4,10,0,7,1,3
"Austria","Ireland",8.2,5.4,12,1,10,8,10
"Austria","Israel",0.25,5.75,0,0,1,0,NA
"Austria","Italy",3.25,5.75,7,0,6,0,NA
"Austria","Luxembourg",2.5,6,5,5,0,0,NA
"Austria","Norway",0,5.4,0,0,0,0,0
"Austria","Portugal",1,5.4,0,0,0,5,0
"Austria","Spain",3.8,5.4,8,7,2,2,0
"Austria","Sweden",5,5.6,0,10,0,10,5
"Austria","Switzerland",2.8,5.6,0,8,0,6,0
"Austria","The Netherlands",3,6,0,NA,5,3,4
"Austria","Turkey",0,5.5,0,0,0,0,NA
"Austria","United Kingdom",6.4,5.6,1,6,12,12,1
"Austria","Yugoslavia",0,6.66666666666667,0,0,0,NA,NA
"Belgium","Austria",3.25,6,2,0,8,3,NA
"Belgium","Cyprus",1.25,6,5,0,0,0,NA
"Belgium","Denmark",0.75,6,3,0,0,0,NA
"Belgium","Finland",0,6,0,0,0,0,NA
"Belgium","France",2.75,5.75,4,7,0,0,NA
"Belgium","Germany",3,6,6,0,6,0,NA
"Belgium","Greece",0.25,6,0,1,0,0,NA
"Belgium","Iceland",3.5,5.75,10,0,4,0,NA
"Belgium","Ireland",5.25,6,7,5,7,2,NA
"Belgium","Israel",2,5.75,0,8,0,0,NA
"Belgium","Italy",2,6.01250000000002,8,0,0,0,NA
"Belgium","Luxembourg",0.5,6,0,2,0,0,NA
"Belgium","Norway",2.25,6,0,0,3,6,NA
"Belgium","Portugal",0,5.75,0,0,0,0,NA
"Belgium","Spain",3.25,6,1,6,1,5,NA
"Belgium","Sweden",5,6.01250000000002,0,10,0,10,NA
"Belgium","Switzerland",6.25,6,0,12,5,8,NA
"Belgium","The Netherlands",3,6.33333333333333,0,NA,2,7,NA
"Belgium","Turkey",0,6,0,0,0,0,NA
"Belgium","United Kingdom",9.75,6,12,3,12,12,NA
"Belgium","Yugoslavia",0,7.01666666666669,0,0,0,NA,NA
"Cyprus","Austria",3,5.6,0,0,8,0,7
"Cyprus","Belgium",0,6,0,0,0,0,NA
"Cyprus","Denmark",1,5.75,4,0,0,0,NA
"Cyprus","Finland",0,5.4,0,0,0,0,0
"Cyprus","France",6.2,5.6,7,7,3,10,4
"Cyprus","Germany",1.8,5.41000000000001,0,3,0,0,6
"Cyprus","Greece",10.4,5.4,6,10,12,12,12
"Cyprus","Iceland",0.4,5.4,0,0,0,2,0
"Cyprus","Ireland",4,5.41000000000001,0,0,5,7,8
"Cyprus","Israel",2.25,5.5,0,5,4,0,NA
"Cyprus","Italy",5.5,6,12,0,10,0,NA
"Cyprus","Luxembourg",1.75,5.75,5,2,0,0,NA
"Cyprus","Norway",3.6,5.61000000000001,0,0,0,8,10
"Cyprus","Portugal",1.4,5.6,0,4,0,3,0
"Cyprus","Spain",5,5.4,8,12,0,5,0
"Cyprus","Sweden",1.2,5.6,0,6,0,0,0
"Cyprus","Switzerland",3,5.61000000000001,1,8,0,6,0
"Cyprus","The Netherlands",2.25,6,2,NA,7,0,0
"Cyprus","Turkey",0,6,0,0,0,0,NA
"Cyprus","United Kingdom",3.8,5.4,3,1,6,4,5
"Cyprus","Yugoslavia",4,6.33333333333333,10,0,2,NA,NA
"Denmark","Austria",1.75,6,0,0,7,0,NA
"Denmark","Belgium",0,5.75,0,0,0,0,NA
"Denmark","Cyprus",1,6,2,0,0,2,NA
"Denmark","Finland",0,5.76250000000002,0,0,0,0,NA
"Denmark","France",4.25,6,5,0,0,12,NA
"Denmark","Germany",4,6,4,6,3,3,NA
"Denmark","Greece",0,6.25,0,0,0,0,NA
"Denmark","Iceland",4.75,5.75,10,0,5,4,NA
"Denmark","Ireland",7.75,5.75,8,7,10,6,NA
"Denmark","Israel",3,6,0,10,2,0,NA
"Denmark","Italy",1.5,6,6,0,0,0,NA
