"To","From","Average","Sim.Threshold","1985","1986","1987","1988","1989"
"Germany","Finland",0.8,5.8,0,3,1,0,0
"Germany","France",2,6,0,0,5,3,2
"Germany","Greece",0,6.01250000000002,0,NA,0,0,0
"Germany","Ireland",4.2,6,4,0,6,7,4
"Germany","Israel",4.6,5.81000000000001,7,0,8,5,3
"Germany","Italy",5.25,6.25,0,NA,12,2,7
"Germany","Luxembourg",3,6,3,12,0,0,0
"Germany","Norway",5.2,5.8,12,6,7,1,0
"Germany","Portugal",0.4,6.2,0,0,2,0,0
"Germany","Spain",2,6,0,0,0,0,10
"Germany","Sweden",4,6,8,4,0,0,8
"Germany","Switzerland",2.6,5.8,1,0,0,12,0
"Germany","Turkey",3.6,5.8,2,8,0,8,0
"Germany","United Kingdom",6.4,5.8,5,5,0,10,12
"Greece","Austria",6,6,5,NA,7,0,12
"Greece","Belgium",0,6.01250000000002,0,NA,0,0,0
"Greece","Cyprus",9,6.66666666666667,8,NA,12,NA,7
"Greece","Denmark",2,6.5,0,NA,8,0,0
"Greece","Finland",2.75,6.25,10,NA,1,0,0
"Greece","France",6.5,6,12,NA,4,5,5
"Greece","Germany",0.75,6.25,0,NA,0,0,3
"Greece","Ireland",0,6.25,0,NA,0,0,0
"Greece","Israel",1.25,6.25,2,NA,0,3,0
"Greece","Italy",1,6.25,0,NA,0,0,4
"Greece","Luxembourg",0.5,6.5,0,NA,0,2,0
"Greece","Norway",2,6.25,1,NA,0,7,0
"Greece","Portugal",4.75,6,7,NA,5,1,6
"Greece","Spain",8.5,6.25,6,NA,10,8,10
"Greece","Sweden",2,6,0,NA,0,0,8
"Greece","Switzerland",3.25,6.25,3,NA,0,10,0
"Greece","Turkey",0,6.25,0,NA,0,0,0
"Greece","United Kingdom",3,6.5,4,NA,0,6,2
"Ireland","Austria",1,5.8,3,2,0,0,0
"Ireland","Belgium",3.4,6,0,12,0,0,5
"Ireland","Cyprus",2.75,6.5,1,1,8,NA,1
"Ireland","Denmark",4.4,6,0,4,4,4,10
"Ireland","Finland",2.8,6,6,0,0,0,8
"Ireland","France",3.2,6,0,0,10,0,6
"Ireland","Germany",5.4,5.61000000000001,4,8,7,6,2
"Ireland","Greece",0,6.25,0,NA,0,0,0
"Ireland","Israel",4.2,5.8,8,0,5,1,7
"Ireland","Italy",3,6.25,0,NA,12,0,0
"Ireland","Luxembourg",3.8,6,0,7,0,12,0
"Ireland","Norway",5.6,6,12,6,2,8,0
"Ireland","Portugal",0,6,0,0,0,0,0
"Ireland","Spain",1.4,6,2,5,0,0,0
"Ireland","Sweden",3,5.8,10,0,0,5,0
"Ireland","Switzerland",4,6.2,0,10,0,10,0
"Ireland","Turkey",1.4,6.01000000000001,7,0,0,0,0
"Ireland","United Kingdom",3.8,6,5,0,3,7,4
"Israel","Austria",3.6,6.2,10,0,0,0,8
"Israel","Belgium",1.4,6.2,0,5,2,0,0
"Israel","Cyprus",0.75,6.25,0,0,0,NA,3
"Israel","Denmark",4.6,5.8,0,10,6,6,1
"Israel","Finland",2.8,6,1,0,0,3,10
"Israel","France",1.6,6.2,3,0,0,0,5
"Israel","Germany",4,6,7,0,8,5,0
"Israel","Greece",0,6.25,0,NA,0,0,0
"Israel","Ireland",3.6,5.8,8,6,4,0,0
"Israel","Italy",1.75,6.25,4,NA,3,0,0
"Israel","Luxembourg",1.8,6,5,4,0,0,0
"Israel","Norway",3,6.2,12,0,0,1,2
"Israel","Portugal",1.4,6,0,7,0,0,0
"Israel","Spain",0.4,5.8,0,0,0,2,0
"Israel","Sweden",4.8,6.2,6,0,12,0,6
"Israel","Switzerland",4.2,6,0,12,1,4,4
"Israel","Turkey",2.2,5.8,0,3,0,8,0
"Israel","United Kingdom",6.2,5.8,2,2,10,10,7
"Italy","Austria",3.25,6.25,0,NA,1,0,12
"Italy","Belgium",1.5,6.25,0,NA,6,0,0
"Italy","Cyprus",1.66666666666667,7,3,NA,0,NA,2
"Italy","Denmark",2.25,6.25,2,NA,2,0,5
"Italy","Finland",1.75,6.25,7,NA,0,0,0
