"To","From","Average","Sim.Threshold","2000","2001","2002","2003","2004"
"Austria","Belgium",1,6,0,NA,0,4,0
"Austria","Croatia",5,5.75,6,NA,6,5,3
"Austria","Cyprus",1.5,5.51250000000002,0,NA,0,0,6
"Austria","Denmark",5,6.5,10,NA,0,NA,NA
"Austria","Estonia",2,6.33333333333333,3,NA,3,0,NA
"Austria","F.Y.R. Macedonia",0,6.33333333333333,0,NA,0,NA,0
"Austria","Finland",0,7,0,NA,0,NA,NA
"Austria","France",0,5.75,0,NA,0,0,0
"Austria","Germany",6,5.75,12,NA,1,1,10
"Austria","Iceland",0,6.66666666666667,0,NA,NA,0,0
"Austria","Ireland",1.33333333333333,6.66666666666667,4,NA,NA,0,0
"Austria","Israel",0,6.66666666666667,0,NA,0,0,NA
"Austria","Latvia",9,7,8,NA,10,NA,NA
"Austria","Malta",2.5,6,2,NA,8,0,0
"Austria","Norway",0.666666666666667,6.33333333333333,0,NA,NA,2,0
"Austria","Romania",1.5,5.75,0,NA,0,6,0
"Austria","Russia",3.75,5.75,7,NA,0,8,0
"Austria","Spain",0,5.75,0,NA,0,0,0
"Austria","Sweden",2,5.75,0,NA,4,3,1
"Austria","Switzerland",3,7,1,NA,5,NA,NA
"Austria","The Netherlands",0,6,0,NA,NA,0,0
"Austria","Turkey",6.25,5.75,5,NA,0,12,8
"Austria","United Kingdom",3,6,0,NA,12,0,0
"Belgium","Austria",1.75,5.75,0,NA,5,2,0
"Belgium","Croatia",0,5.5,0,NA,0,0,0
"Belgium","Cyprus",1.75,5.75,0,NA,3,0,4
"Belgium","Denmark",5,7.5,10,NA,0,NA,NA
"Belgium","Estonia",2,6,2,NA,4,0,NA
"Belgium","F.Y.R. Macedonia",0,6.66666666666667,0,NA,0,NA,0
"Belgium","Finland",0,7.5,0,NA,0,NA,NA
"Belgium","France",5,5.75,0,NA,10,0,10
"Belgium","Germany",1.5,5.51250000000002,6,NA,0,0,0
"Belgium","Iceland",1,6.33333333333333,0,NA,NA,3,0
"Belgium","Ireland",1.66666666666667,6,4,NA,NA,1,0
"Belgium","Israel",0.666666666666667,6.66666666666667,0,NA,2,0,NA
"Belgium","Latvia",10,7.5,12,NA,8,NA,NA
"Belgium","Malta",2,5.75,1,NA,7,0,0
"Belgium","Norway",2,6.33333333333333,0,NA,NA,6,0
"Belgium","Romania",0,5.76250000000002,0,NA,0,0,0
"Belgium","Russia",3.5,5.76250000000002,7,NA,0,7,0
"Belgium","Spain",7.25,5.5,0,NA,12,10,7
"Belgium","Sweden",3,5.75,5,NA,1,4,2
"Belgium","Switzerland",0,7.5,0,NA,0,NA,NA
"Belgium","The Netherlands",7.33333333333333,6.66666666666667,8,NA,NA,8,6
"Belgium","Turkey",6.75,6,3,NA,0,12,12
"Belgium","United Kingdom",1.5,5.75,0,NA,6,0,0
"Croatia","Austria",1.25,5.76250000000002,0,NA,0,5,0
"Croatia","Belgium",0,5.75,0,NA,0,0,0
"Croatia","Cyprus",4.25,5.76250000000002,3,NA,10,0,4
"Croatia","Denmark",4,6.35000000000002,0,12,0,NA,NA
"Croatia","Estonia",3.25,5.75,6,2,5,0,NA
"Croatia","F.Y.R. Macedonia",6.33333333333333,6.33333333333333,10,NA,4,NA,5
"Croatia","Finland",0,7,0,NA,0,NA,NA
"Croatia","France",1.2,5.4,0,6,0,0,0
"Croatia","Germany",0.6,5.6,1,1,0,0,1
"Croatia","Iceland",1.5,6,0,0,NA,6,0
"Croatia","Ireland",2.25,6,5,0,NA,4,0
"Croatia","Israel",0,5.75,0,0,0,0,NA
"Croatia","Latvia",0.666666666666667,6.66666666666667,0,0,2,NA,NA
"Croatia","Malta",4.4,5.8,8,0,12,0,2
"Croatia","Norway",0,5.51250000000002,0,0,NA,0,0
"Croatia","Romania",2,6,7,NA,0,1,0
"Croatia","Russia",4.8,5.4,12,0,0,12,0
"Croatia","Spain",2.6,5.4,0,0,6,7,0
"Croatia","Sweden",1.2,5.2,0,4,0,2,0
"Croatia","Switzerland",0,7.5,0,NA,0,NA,NA
"Croatia","The Netherlands",0.5,5.51250000000002,2,0,NA,0,0
"Croatia","Turkey",4.6,5.4,0,7,3,10,3
"Croatia","United Kingdom",1.4,5.2,4,3,0,0,0
"Cyprus","Austria",1.25,5.51250000000002,0,NA,1,4,0
"Cyprus","Belgium",1,5.76250000000002,0,NA,0,3,1
"Cyprus","Croatia",1.5,5.75,0,NA,6,0,0
"Cyprus","Denmark",2,7.5,4,NA,0,NA,NA
"Cyprus","Estonia",2,6.33333333333333,6,NA,0,0,NA
"Cyprus","F.Y.R. Macedonia",1.66666666666667,6.33333333333333,2,NA,3,NA,0
"Cyprus","Finland",1,7.02500000000003,0,NA,2,NA,NA
"Cyprus","France",0,5.5,0,NA,0,0,0
"Cyprus","Germany",0,5.75,0,NA,0,0,0
"Cyprus","Iceland",1.66666666666667,6.66666666666667,0,NA,NA,5,0
"Cyprus","Ireland",4.66666666666667,6.33333333333333,7,NA,NA,7,0
"Cyprus","Israel",0,6,0,NA,0,0,NA
"Cyprus","Latvia",2.5,7.02500000000003,1,NA,4,NA,NA
"Cyprus","Malta",4.5,5.75,8,NA,10,0,0
"Cyprus","Norway",0,6.66666666666667,0,NA,NA,0,0
"Cyprus","Romania",3.25,5.5,0,NA,8,2,3
"Cyprus","Russia",8.25,5.75,12,NA,5,10,6
"Cyprus","Spain",7.5,5.75,10,NA,7,6,7
"Cyprus","Sweden",1.5,5.75,0,NA,0,1,5
"Cyprus","Switzerland",0,7.02500000000003,0,NA,0,NA,NA
"Cyprus","The Netherlands",1.66666666666667,6.33333333333333,5,NA,NA,0,0
"Cyprus","Turkey",3,5.76250000000002,0,NA,0,8,4
"Cyprus","United Kingdom",0.75,6,3,NA,0,0,0
"Denmark","Austria",0,6.66666666666667,0,NA,0,NA,0
"Denmark","Belgium",1.33333333333333,6.66666666666667,0,NA,4,NA,0
"Denmark","Croatia",0,6,0,0,0,NA,0
"Denmark","Cyprus",2,6.66666666666667,0,NA,0,NA,6
"Denmark","Estonia",6.66666666666667,6.33333333333333,4,8,8,NA,NA
"Denmark","F.Y.R. Macedonia",0,6.66666666666667,0,NA,0,NA,0
"Denmark","Finland",1.5,7.5,0,NA,3,NA,NA
"Denmark","France",2.75,6,0,6,5,NA,0
