"To","From","Average","Sim.Threshold","2015","2016","2017","2018","2019"
"Albania","Armenia",2.33333333333333,6.33333333333333,0,0,7,NA,NA
"Albania","Australia",4.2,5,3,12,4,0,2
"Albania","Austria",0,5.5,0,0,0,0,NA
"Albania","Azerbaijan",2.5,6,0,0,2,NA,8
"Albania","Belgium",0.333333333333333,6.01666666666669,1,0,0,NA,NA
"Albania","Cyprus",3.4,5.4,0,0,0,10,7
"Albania","Estonia",1.33333333333333,6.33333333333333,4,NA,NA,0,0
"Albania","France",5,5,0,10,5,7,3
"Albania","Georgia",0,6.5,0,0,NA,NA,NA
"Albania","Germany",1.2,5,0,0,0,6,0
"Albania","Greece",5,6.01666666666669,10,NA,1,NA,4
"Albania","Hungary",0.25,5.5,0,1,0,0,NA
"Albania","Israel",2.6,5,5,3,0,5,0
"Albania","Italy",9.8,5.2,12,8,12,12,5
"Albania","Latvia",0,6,0,0,NA,NA,NA
"Albania","Lithuania",0,6.33333333333333,0,0,NA,0,NA
"Albania","Montenegro",6,10,6,NA,NA,NA,NA
"Albania","Norway",0,5.51250000000002,0,NA,0,0,0
"Albania","Poland",0,6.33333333333333,0,0,0,NA,NA
"Albania","Romania",1.5,6.5,0,NA,3,NA,NA
"Albania","Russia",5.33333333333333,6.33333333333333,8,7,NA,NA,1
"Albania","Serbia",1.25,5.75,2,0,NA,3,0
"Albania","Slovenia",0,6.33333333333333,0,NA,NA,0,0
"Albania","Spain",1.2,5,0,6,0,0,0
"Albania","Sweden",3.4,5,7,0,0,4,6
"Albania","United Kingdom",2.6,5.2,0,5,8,0,0
"Armenia","Albania",0,6.33333333333333,0,NA,NA,0,0
"Armenia","Australia",1.6,5.2,1,5,0,2,0
"Armenia","Austria",0.5,5.5,0,0,1,1,NA
"Armenia","Azerbaijan",0,5.75,0,0,0,NA,0
"Armenia","Belgium",2.66666666666667,6.33333333333333,4,4,0,NA,NA
"Armenia","Cyprus",4,5.2,0,6,7,7,0
"Armenia","Estonia",0,6.33333333333333,0,NA,NA,0,0
"Armenia","France",4.4,5.2,3,12,3,4,0
"Armenia","Georgia",10,6.5,10,10,NA,NA,NA
"Armenia","Germany",1,5,0,0,0,5,0
"Armenia","Greece",5,6.33333333333333,5,NA,10,NA,0
"Armenia","Hungary",0,5.5,0,0,0,0,NA
"Armenia","Israel",1.6,5.2,0,0,0,8,0
"Armenia","Italy",3.2,5.2,6,0,2,0,8
"Armenia","Latvia",1,7,2,0,NA,NA,NA
"Armenia","Lithuania",0,6.33333333333333,0,0,NA,0,NA
"Armenia","Montenegro",8,10,8,NA,NA,NA,NA
"Armenia","Norway",1.25,5.5,0,NA,5,0,0
"Armenia","Poland",0,6,0,0,0,NA,NA
"Armenia","Romania",0,6.5,0,NA,0,NA,NA
"Armenia","Russia",6.33333333333333,6,12,2,NA,NA,5
"Armenia","Serbia",0,5.25,0,0,NA,0,0
"Armenia","Slovenia",0,6.33333333333333,0,NA,NA,0,0
"Armenia","Spain",0.6,5.2,0,3,0,0,0
"Armenia","Sweden",7.4,5.2,7,0,6,12,12
"Armenia","United Kingdom",1.2,5.2,0,0,4,0,2
"Australia","Albania",0,6.33333333333333,0,NA,NA,0,0
"Australia","Armenia",0.333333333333333,6.01666666666669,0,0,1,NA,NA
"Australia","Austria",2,5.5,0,0,3,5,NA
"Australia","Azerbaijan",0.5,5.25,0,0,0,NA,2
"Australia","Belgium",6,6,6,12,0,NA,NA
"Australia","Cyprus",0,5,0,0,0,0,0
"Australia","Estonia",3.66666666666667,6,3,NA,NA,8,0
"Australia","France",3.2,5.4,0,6,0,0,10
"Australia","Georgia",0.5,6.5,1,0,NA,NA,NA
"Australia","Germany",2.6,5.01000000000001,0,0,0,10,3
"Australia","Greece",0,6,0,NA,0,NA,0
"Australia","Hungary",0,6,0,0,0,0,NA
"Australia","Israel",3.6,5.2,2,10,0,6,0
"Australia","Italy",1.6,5.4,8,0,0,0,0
"Australia","Latvia",3.5,6.5,7,0,NA,NA,NA
"Australia","Lithuania",3.33333333333333,6.33333333333333,0,7,NA,3,NA
"Australia","Montenegro",0,10,0,NA,NA,NA,NA
"Australia","Norway",1,5.5,4,NA,0,0,0
"Australia","Poland",0.666666666666667,6,0,0,2,NA,NA
"Australia","Romania",0,6,0,NA,0,NA,NA
"Australia","Russia",4.66666666666667,6,10,0,NA,NA,4
"Australia","Serbia",1.5,5.5,5,0,NA,0,1
"Australia","Slovenia",0,6,0,NA,NA,0,0
"Australia","Spain",2.4,5.2,0,5,0,7,0
"Australia","Sweden",8.4,5.01000000000001,12,0,6,12,12
"Australia","United Kingdom",3.2,5.2,0,4,12,0,0
"Austria","Albania",2.33333333333333,6.33333333333333,0,NA,NA,7,0
"Austria","Armenia",0.666666666666667,6.66666666666667,0,2,0,NA,NA
"Austria","Australia",4.8,5,12,12,0,0,0
"Austria","Azerbaijan",1,5.5,0,0,0,NA,4
"Austria","Belgium",4,6.01666666666669,5,5,2,NA,NA
"Austria","Cyprus",0,5.4,0,0,0,0,0
"Austria","Estonia",2.66666666666667,6,6,NA,NA,2,0
"Austria","France",2.4,5,0,7,0,0,5
"Austria","Georgia",0,7,0,0,NA,NA,NA
"Austria","Germany",2,5.2,0,0,0,10,0
"Austria","Greece",0,6,0,NA,0,NA,0
"Austria","Hungary",1.25,5.5,0,0,5,0,NA
"Austria","Israel",2.8,5.2,2,0,0,12,0
"Austria","Italy",4.6,5,10,0,6,0,7
"Austria","Latvia",0.5,6.5,1,0,NA,NA,NA
"Austria","Lithuania",0.333333333333333,6.33333333333333,0,1,NA,0,NA
"Austria","Montenegro",0,10,0,NA,NA,NA,NA
"Austria","Norway",2,5.25,4,NA,3,0,1
"Austria","Poland",0,6,0,0,0,NA,NA
"Austria","Romania",0,7.5,0,NA,0,NA,NA
"Austria","Russia",3.66666666666667,6.01666666666669,8,3,NA,NA,0
"Austria","Serbia",1.25,5.5,3,0,NA,0,2
"Austria","Slovenia",1.66666666666667,6,0,NA,NA,5,0
"Austria","Spain",0,5.2,0,0,0,0,0
"Austria","Sweden",6.6,5.2,7,8,4,8,6
"Austria","United Kingdom",0.2,5.2,0,0,1,0,0
